op_name, stream_id, start_time(ms), duration(ms)
Default/network-WithLossCell/_loss_fn-MSELoss/ReduceMean-op9,4,3189614292.92078,0.00107
Default/Mul-op7,4,3189614292.92196,0.0011
Default/AtomicAddrClean-op29,4,3189614292.92317,0.00112
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradMatMul/MatMul-op12,4,3189614292.9244,0.00121
Default/AtomicAddrClean-op30,4,3189614292.92572,0.00119
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradBiasAdd/BiasAddGrad-op11,4,3189614292.92702,0.00116
Default/optimizer-Momentum/ApplyMomentum-op16,4,3189614292.92829,0.00123
Default/optimizer-Momentum/ApplyMomentum-op18,4,3189614292.92964,0.00117
Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/MatMul-op26,4,3189614294.61373,0.00447
Default/network-WithLossCell/_loss_fn-MSELoss/Sub-op6,4,3189614294.61831,0.00116
Default/network-WithLossCell/_loss_fn-MSELoss/Square-op8,4,3189614294.61958,0.00108
Default/AtomicAddrClean-op28,4,3189614294.62077,0.00114
Default/network-WithLossCell/_loss_fn-MSELoss/ReduceMean-op9,4,3189614294.62202,0.0011
Default/Mul-op7,4,3189614294.62323,0.00116
Default/AtomicAddrClean-op29,4,3189614294.6245,0.0012
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradMatMul/MatMul-op12,4,3189614294.62581,0.0012
Default/AtomicAddrClean-op30,4,3189614294.62712,0.00121
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradBiasAdd/BiasAddGrad-op11,4,3189614294.62844,0.00116
Default/optimizer-Momentum/ApplyMomentum-op16,4,3189614294.62971,0.00123
Default/optimizer-Momentum/ApplyMomentum-op18,4,3189614294.63106,0.00122
Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/MatMul-op26,4,3189614296.4199,0.00439
Default/network-WithLossCell/_loss_fn-MSELoss/Sub-op6,4,3189614296.42441,0.00116
